air,level,ext_field,hash,r,n_trace,blowup,prove_ms,verify_ms,proof_kib,peak_rss_mib,run_idx,ldt
RegisterMachine-2^13,L1,Fp6,SHA3-256,54,8192,32,2559,5.99,585.5,,1,fri
RegisterMachine-2^14,L1,Fp6,SHA3-256,54,16384,32,5120,6.47,626.9,,1,fri
RegisterMachine-2^15,L1,Fp6,SHA3-256,54,32768,32,10396,7.02,670.0,,1,fri
Fibonacci-2^11,L1,Fp6,SHA3-256,54,2048,32,272,1.05,1.5,,1,stir
Fibonacci-2^12,L1,Fp6,SHA3-256,54,4096,32,521,1.08,1.5,,1,stir
Fibonacci-2^13,L1,Fp6,SHA3-256,54,8192,32,1027,1.21,1.6,,1,stir
Fibonacci-2^14,L1,Fp6,SHA3-256,54,16384,32,2032,1.23,1.7,,1,stir
Fibonacci-2^15,L1,Fp6,SHA3-256,54,32768,32,4083,1.27,1.8,,1,stir
Fibonacci-2^16,L1,Fp6,SHA3-256,54,65536,32,8200,1.29,1.8,,1,stir
Fibonacci-2^17,L1,Fp6,SHA3-256,54,131072,32,16602,1.41,1.9,,1,stir
Fibonacci-2^18,L1,Fp6,SHA3-256,54,262144,32,33474,1.44,2.0,,1,stir
Fibonacci-2^19,L1,Fp6,SHA3-256,54,524288,32,67402,1.47,2.1,,1,stir
Fibonacci-2^20,L1,Fp6,SHA3-256,54,1048576,32,136404,1.50,2.2,,1,stir
Fibonacci-2^21,L1,Fp6,SHA3-256,54,2097152,32,275109,1.62,2.2,,1,stir
Fibonacci-2^22,L1,Fp6,SHA3-256,54,4194304,32,556377,1.64,2.3,,1,stir
Fibonacci-2^11,L1,Fp6,SHA3-256,54,2048,32,267,1.06,135.5,,1,stir
Fibonacci-2^12,L1,Fp6,SHA3-256,54,4096,32,512,1.08,137.3,,1,stir
Fibonacci-2^13,L1,Fp6,SHA3-256,54,8192,32,1020,1.22,164.5,,1,stir
Fibonacci-2^14,L1,Fp6,SHA3-256,54,16384,32,2021,1.23,166.3,,1,stir
Fibonacci-2^15,L1,Fp6,SHA3-256,54,32768,32,4073,1.26,168.1,,1,stir
Fibonacci-2^16,L1,Fp6,SHA3-256,54,65536,32,8249,1.28,169.9,,1,stir
Fibonacci-2^17,L1,Fp6,SHA3-256,54,131072,32,16536,1.41,197.0,,1,stir
Fibonacci-2^18,L1,Fp6,SHA3-256,54,262144,32,33321,1.43,198.8,,1,stir
Fibonacci-2^19,L1,Fp6,SHA3-256,54,524288,32,67304,1.47,200.6,,1,stir
Fibonacci-2^20,L1,Fp6,SHA3-256,54,1048576,32,136089,1.49,202.5,,1,stir
Fibonacci-2^21,L1,Fp6,SHA3-256,54,2097152,32,276241,1.61,229.6,,1,stir
Fibonacci-2^22,L1,Fp6,SHA3-256,54,4194304,32,553483,1.64,231.4,,1,stir
PoseidonChain-2^11,L1,Fp6,SHA3-256,54,2048,32,634,1.05,135.5,,1,stir
PoseidonChain-2^12,L1,Fp6,SHA3-256,54,4096,32,1252,1.08,137.3,,1,stir
PoseidonChain-2^13,L1,Fp6,SHA3-256,54,8192,32,2514,1.20,164.5,,1,stir
PoseidonChain-2^14,L1,Fp6,SHA3-256,54,16384,32,5079,1.23,166.3,,1,stir
PoseidonChain-2^15,L1,Fp6,SHA3-256,54,32768,32,10319,1.27,168.1,,1,stir
PoseidonChain-2^16,L1,Fp6,SHA3-256,54,65536,32,20923,1.29,169.9,,1,stir
PoseidonChain-2^17,L1,Fp6,SHA3-256,54,131072,32,42492,1.41,197.0,,1,stir
PoseidonChain-2^18,L1,Fp6,SHA3-256,54,262144,32,86078,1.44,198.8,,1,stir
PoseidonChain-2^19,L1,Fp6,SHA3-256,54,524288,32,174520,1.48,200.6,,1,stir
PoseidonChain-2^20,L1,Fp6,SHA3-256,54,1048576,32,353419,1.54,202.5,,1,stir
PoseidonChain-2^21,L1,Fp6,SHA3-256,54,2097152,32,716279,1.63,229.6,,1,stir
PoseidonChain-2^22,L1,Fp6,SHA3-256,54,4194304,32,1452038,1.65,231.4,,1,stir
RegisterMachine-2^11,L1,Fp6,SHA3-256,54,2048,32,320,1.06,135.5,,1,stir
RegisterMachine-2^12,L1,Fp6,SHA3-256,54,4096,32,625,1.09,137.3,,1,stir
RegisterMachine-2^13,L1,Fp6,SHA3-256,54,8192,32,1250,1.20,164.5,,1,stir
RegisterMachine-2^14,L1,Fp6,SHA3-256,54,16384,32,2522,1.25,166.3,,1,stir
RegisterMachine-2^15,L1,Fp6,SHA3-256,54,32768,32,5115,1.26,168.1,,1,stir
RegisterMachine-2^16,L1,Fp6,SHA3-256,54,65536,32,10514,1.29,169.9,,1,stir
RegisterMachine-2^17,L1,Fp6,SHA3-256,54,131072,32,21472,1.41,197.0,,1,stir
RegisterMachine-2^18,L1,Fp6,SHA3-256,54,262144,32,43405,1.43,198.8,,1,stir
RegisterMachine-2^19,L1,Fp6,SHA3-256,54,524288,32,88054,1.47,200.6,,1,stir
RegisterMachine-2^20,L1,Fp6,SHA3-256,54,1048576,32,179002,1.50,202.5,,1,stir
RegisterMachine-2^21,L1,Fp6,SHA3-256,54,2097152,32,363877,1.61,229.6,,1,stir
RegisterMachine-2^22,L1,Fp6,SHA3-256,54,4194304,32,738617,1.64,231.4,,1,stir
Fibonacci-2^11,L1,Fp6,SHA3-256,54,2048,32,267,1.06,135.5,,2,stir
Fibonacci-2^12,L1,Fp6,SHA3-256,54,4096,32,516,1.08,137.3,,2,stir
Fibonacci-2^13,L1,Fp6,SHA3-256,54,8192,32,1017,1.21,164.5,,2,stir
Fibonacci-2^14,L1,Fp6,SHA3-256,54,16384,32,2024,1.24,166.3,,2,stir
Fibonacci-2^15,L1,Fp6,SHA3-256,54,32768,32,4052,1.27,168.1,,2,stir
Fibonacci-2^16,L1,Fp6,SHA3-256,54,65536,32,8254,1.29,169.9,,2,stir
Fibonacci-2^17,L1,Fp6,SHA3-256,54,131072,32,16523,1.40,197.0,,2,stir
Fibonacci-2^18,L1,Fp6,SHA3-256,54,262144,32,33415,1.43,198.8,,2,stir
Fibonacci-2^19,L1,Fp6,SHA3-256,54,524288,32,67145,1.47,200.6,,2,stir
Fibonacci-2^20,L1,Fp6,SHA3-256,54,1048576,32,135758,1.50,202.5,,2,stir
Fibonacci-2^21,L1,Fp6,SHA3-256,54,2097152,32,274970,1.61,229.6,,2,stir
Fibonacci-2^22,L1,Fp6,SHA3-256,54,4194304,32,555438,1.65,231.4,,2,stir
PoseidonChain-2^11,L1,Fp6,SHA3-256,54,2048,32,635,1.05,135.5,,2,stir
PoseidonChain-2^12,L1,Fp6,SHA3-256,54,4096,32,1255,1.09,137.3,,2,stir
PoseidonChain-2^13,L1,Fp6,SHA3-256,54,8192,32,2514,1.21,164.5,,2,stir
PoseidonChain-2^14,L1,Fp6,SHA3-256,54,16384,32,5083,1.22,166.3,,2,stir
PoseidonChain-2^15,L1,Fp6,SHA3-256,54,32768,32,10306,1.26,168.1,,2,stir
PoseidonChain-2^16,L1,Fp6,SHA3-256,54,65536,32,21023,1.29,169.9,,2,stir
PoseidonChain-2^17,L1,Fp6,SHA3-256,54,131072,32,42570,1.42,197.0,,2,stir
PoseidonChain-2^18,L1,Fp6,SHA3-256,54,262144,32,86250,1.44,198.8,,2,stir
PoseidonChain-2^19,L1,Fp6,SHA3-256,54,524288,32,174481,1.48,200.6,,2,stir
PoseidonChain-2^20,L1,Fp6,SHA3-256,54,1048576,32,353791,1.53,202.5,,2,stir
PoseidonChain-2^21,L1,Fp6,SHA3-256,54,2097152,32,717571,1.61,229.6,,2,stir
PoseidonChain-2^22,L1,Fp6,SHA3-256,54,4194304,32,1451448,1.64,231.4,,2,stir
RegisterMachine-2^11,L1,Fp6,SHA3-256,54,2048,32,321,1.05,135.5,,2,stir
RegisterMachine-2^12,L1,Fp6,SHA3-256,54,4096,32,627,1.08,137.3,,2,stir
RegisterMachine-2^13,L1,Fp6,SHA3-256,54,8192,32,1247,1.20,164.5,,2,stir
RegisterMachine-2^14,L1,Fp6,SHA3-256,54,16384,32,2513,1.25,166.3,,2,stir
RegisterMachine-2^15,L1,Fp6,SHA3-256,54,32768,32,5110,1.26,168.1,,2,stir
RegisterMachine-2^16,L1,Fp6,SHA3-256,54,65536,32,10431,1.29,169.9,,2,stir
RegisterMachine-2^17,L1,Fp6,SHA3-256,54,131072,32,21259,1.41,197.0,,2,stir
RegisterMachine-2^18,L1,Fp6,SHA3-256,54,262144,32,43104,1.43,198.8,,2,stir
RegisterMachine-2^19,L1,Fp6,SHA3-256,54,524288,32,87683,1.47,200.6,,2,stir
RegisterMachine-2^20,L1,Fp6,SHA3-256,54,1048576,32,178747,1.51,202.5,,2,stir
RegisterMachine-2^21,L1,Fp6,SHA3-256,54,2097152,32,365547,1.61,229.6,,2,stir
RegisterMachine-2^22,L1,Fp6,SHA3-256,54,4194304,32,743625,1.64,231.4,,2,stir
